document_sha256,occurrences,instruction_generation_rows,instruction_generation_ifeval_rows,languages,document_chars,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,classification_tied,script_group,domains
095fdd8d6c190debe8128258f1368adba38525f749d5492dc6dd44fb53816719,2,2,0,Portuguese,5153,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,3t.org.br
0968be1d4cda0bf640d625a4476d44032cc41cb1d1de056e9cfd27c917fdd490,2,2,0,Portuguese,3930,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0969e3f60bc3ed391ba7432359fc3f8a1f50b02e60a7fb2abbd150bd193c91ee,2,2,0,Portuguese,13947,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
09876d00074adb1194687bfe491bf08ebf3a724e5149a8abdfbb88ac8ea9895d,2,2,0,Portuguese,3549,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
099ebcecebfd6785195e825b4e6db377f656b0f006dc2bfad8623bff5577e0c0,2,2,0,Portuguese,13270,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
09dc1a4e4e21e736d90f7ca2d2f8bd435daa59f71cd8ca91a05d3dcf32e02a7b,2,2,0,English,3615,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
09dfc0ec6a4204effcc159b56998d201560f05dbe72b5988affddfb7a4f6efac,2,2,0,Spanish,3682,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
09e4f38593f3c0c47759d4b6a5cc71525771e0ca609891a3c20b0b5f015464da,2,2,0,Portuguese,13354,government/legal/procurement,no_explicit_marker,False,False,False,False,False,True,latin_or_other,jusbrasil.com.br
0a209a3df7bee7a9476c62cbe069aa7b5b87e0409813154c8f87106d11191a08,2,2,0,Italian,6057,encyclopedia/reference,no_explicit_marker,False,False,False,False,False,False,latin_or_other,it.wikipedia.org
0a39a02262a9a6a1598fe03ab5b9bc920684175ff86bcd2fc9082d4bf5b366fe,2,2,0,Portuguese,7824,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0a77171532b87dbeecdf5f966ca630318832f40933796ab3e88e8ba4b6adaef1,2,2,0,French,1469,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0a795671bc83f80e11a460b2ffa38e907506f34e4a43944dc7a05ab29babc0e1,2,2,0,Portuguese,3533,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0a85e12220bf93f8d3082983479f6ae22f952fa0f2a9487074cac0b917be77b6,2,2,0,French,13446,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,False,latin_or_other,
0a99dcf77c01fb95a9ff528b693e0c892371569e36683be59837dd5d719f1084,2,2,0,Portuguese,9910,government/legal/procurement,no_explicit_marker,False,False,False,False,False,True,latin_or_other,
0ab1a6dbed9b70c95252397cd7737a8b460a6fc9652f0ed6d125649da8895925,2,2,0,Italian,3197,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b0cdd6427093398965cae282583826894ebd05d970ce903e590325a68591fc9,2,2,0,German,5313,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b0e6f2cefaed29359d66b9d9c3262342d75cdc4d15a010dcd519dff4ca6a65b,2,2,0,Portuguese,12741,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b1d540cf17e67199f2784316fe8d56cf2c4033e90092bce2d1166f3304ec570,2,2,0,Portuguese,10455,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b2f0b7937384b9b11e04784cb502df7a1e732df74ea597f72ae76a82dea08ff,2,2,0,English,4696,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b53ca4326b10d096beb19cd4429c197a15de2b82162073344c47b82022e6870,2,2,0,Italian,922,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b648defcbfd3aae8061d9608357e59b7146d475a72b19dfc9eb13ce08c1a6d8,2,2,0,German,4280,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0b7234a68b4f5eea2bdbf4a5576da5fc11fd6fe257e567f21596e357018c7a25,2,2,0,Italian,7706,books/literary/publisher,no_explicit_marker,False,False,False,False,False,True,latin_or_other,it.wikipedia.org
0b8377b69d8eb8d3c4eb322b16662ed0bb8f190b1626dadbb55ae52da7dcf4dc,2,2,0,English,3235,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0bb36ef5032a6d138dd0f18ed6b12d155072ce23a44c36314535597b4375c0bd,2,2,0,French,2219,encyclopedia/reference,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0bc389a3f7940b524ada3a1e7e7dd1b9ca8e9503a32c50f85da12758e7811607,2,2,0,English,6250,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,npr.org;outsideonline.com;patagonia.com
0bea74c2e9d23e2bd244268efea10b1aee4941247fed0a792b913deb28232e91,2,2,0,Spanish,3470,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,itoc.org.es;univision.com
0becafff70eb2d66f498e59f5db4c27ceded503ea5893c1973c551fe0a79b846,2,2,0,Italian,3582,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0bfda617de766b7a59db26e6bfc36b9436452bd24e06d3db011de52de4d353dc,2,2,0,English,834,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0c041e3f2289c8e11a8c735db1dfb09845adf28fb55ff705d35be3c45826e8e5,2,2,0,Italian,10681,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0c27881a263389ed4804e34c9fd8c9bdb3abc9a0d1d7701aa58b8ef1e64edafa,2,2,0,Italian,13885,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0c30aaab38a1c4f26bf3396deab640ee1c9adad23dd99f96e6221bee889e5d7e,2,2,0,Portuguese,14196,government/legal/procurement,no_explicit_marker,False,False,False,False,False,True,latin_or_other,
0c42e9d7ab757ac9111c1c83fb7d68c986d12b1b0a46582ecebdc1ef226b3c76,2,2,0,English,9131,education/course/textbook,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
